Unnamed: 0,Prompt,ROGUE_1,ROGUE_2,ROGUE_L,ROGUE_S,METEOR,BERTScore
201,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.66,0.48,0.66,0.37,0.66,0.95
202,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.66,0.48,0.65,0.36,0.67,0.94
203,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.69,0.52,0.68,0.42,0.7,0.95
204,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.66,0.49,0.65,0.37,0.66,0.95
205,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.64,0.45,0.63,0.31,0.64,0.94
206,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.67,0.49,0.66,0.35,0.67,0.94
207,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.67,0.5,0.66,0.38,0.67,0.94
208,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.64,0.46,0.63,0.31,0.63,0.94
209,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.65,0.46,0.64,0.34,0.63,0.94
210,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.66,0.5,0.65,0.39,0.65,0.95
211,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.69,0.53,0.68,0.42,0.67,0.95
212,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.65,0.45,0.64,0.35,0.64,0.94
213,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.68,0.51,0.67,0.39,0.67,0.95
214,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.67,0.47,0.66,0.34,0.66,0.94
215,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.63,0.44,0.62,0.34,0.63,0.94
216,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.67,0.49,0.66,0.4,0.68,0.95
217,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.69,0.52,0.69,0.4,0.71,0.95
218,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.68,0.52,0.68,0.43,0.7,0.95
219,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.7,0.54,0.69,0.41,0.7,0.95
220,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.65,0.47,0.65,0.36,0.66,0.94
221,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.69,0.53,0.69,0.43,0.71,0.95
222,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.65,0.48,0.65,0.35,0.67,0.94
223,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.68,0.5,0.67,0.39,0.69,0.95
224,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.67,0.49,0.66,0.38,0.69,0.94
225,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.65,0.48,0.64,0.4,0.68,0.94
226,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.69,0.52,0.68,0.4,0.7,0.94
